Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
04-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,4500,90
05-09-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3825,85
06-09-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3825,85
07-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4500,90
08-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3125,63
09-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2813,63
10-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
11-09-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3600,80
12-09-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3600,80
13-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3750,75
14-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3000,60
15-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2588,58
16-09-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4125,75
20-10-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4050,90
21-10-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4050,90
22-10-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4125,83
23-10-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3375,68
24-10-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
25-10-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
26-10-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4275,95
27-10-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
28-10-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4250,85
29-10-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3500,70
30-10-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
31-10-2020,Women's Apparel,South,Walmart,Outlet,Texas,55,4950,90
01-11-2020,Men's Street Footwear,South,West Gear,Outlet,Texas,40,3100,78
02-11-2020,Men's Athletic Footwear,South,West Gear,Outlet,Texas,50,3875,78
03-11-2020,Women's Street Footwear,South,West Gear,Outlet,Texas,50,3875,78
04-11-2020,Women's Athletic Footwear,South,West Gear,Outlet,Texas,50,3125,63
05-11-2020,Men's Apparel,West,West Gear,Outlet,California,55,3163,58
06-11-2020,Women's Apparel,West,West Gear,Outlet,California,50,3875,78
07-11-2020,Men's Street Footwear,West,West Gear,Outlet,California,40,3300,83
08-11-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,50,3625,73
09-11-2020,Women's Street Footwear,West,West Gear,Outlet,California,50,3625,73
10-11-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,50,2875,58
11-11-2020,Men's Apparel,West,West Gear,Outlet,California,55,2750,50
12-11-2020,Women's Apparel,West,West Gear,Outlet,California,50,3500,70
13-11-2020,Men's Street Footwear,West,West Gear,Outlet,California,50,4250,85
14-11-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
15-11-2020,Women's Street Footwear,West,West Gear,Outlet,California,60,4200,70
22-12-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3600,60
23-12-2020,Men's Apparel,West,West Gear,Outlet,California,65,3250,50
24-12-2020,Women's Apparel,West,West Gear,Outlet,California,60,4200,70
25-12-2020,Men's Street Footwear,West,West Gear,Outlet,California,60,5250,88
26-12-2020,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4388,68
27-12-2020,Women's Street Footwear,West,West Gear,Outlet,California,65,4713,73
28-12-2020,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3750,63
29-12-2020,Men's Apparel,West,West Gear,Outlet,California,65,3413,53
30-12-2020,Women's Apparel,West,West Gear,Outlet,California,80,5600,70
31-12-2020,Men's Street Footwear,West,West Gear,Outlet,California,60,5400,90
01-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
02-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,4875,75
03-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3900,65
04-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,3575,55
05-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
06-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,60,5850,98
07-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5363,83
08-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
09-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
10-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,3738,58
11-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,7000,88
12-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,60,6150,103
13-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5688,88
14-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
15-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4350,73
16-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,5038,78
17-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,6200,78
18-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,65,6338,98
19-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,70,6475,93
20-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,65,5200,80
21-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
22-01-2021,Men's Apparel,West,West Gear,Outlet,California,75,5625,75
23-01-2021,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
24-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,5088,93
25-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5550,93
26-01-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
27-01-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3988,73
28-01-2021,Men's Apparel,West,West Gear,Outlet,California,65,4713,73
29-01-2021,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
30-01-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
31-01-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
01-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,3850,70
02-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3713,68
03-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
04-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,4900,70
05-02-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
06-02-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
07-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,3988,73
08-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3850,70
09-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
10-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
11-02-2021,Men's Street Footwear,West,West Gear,Outlet,California,55,5363,98
12-02-2021,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5850,98
13-02-2021,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
14-02-2021,Women's Athletic Footwear,West,West Gear,Outlet,California,55,4263,78
15-02-2021,Men's Apparel,West,West Gear,Outlet,California,65,4550,70
16-02-2021,Women's Apparel,West,West Gear,Outlet,California,70,5600,80
17-02-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2450,70
18-02-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,3150,70
09-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,3150,70
10-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
11-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
12-03-2021,Women's Apparel,West,Kohl's,Outlet,California,45,3150,70
13-03-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2625,75
14-03-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
15-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,3038,68
16-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
17-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
18-03-2021,Women's Apparel,West,Kohl's,Outlet,California,45,2925,65
19-03-2021,Men's Street Footwear,West,Kohl's,Outlet,California,35,2800,80
20-03-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
21-03-2021,Women's Street Footwear,West,Kohl's,Outlet,California,45,2925,65
22-03-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
23-03-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
06-04-2021,Women's Apparel,West,Kohl's,Outlet,California,45,2813,63
07-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
08-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3000,60
09-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3125,63
10-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
11-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
12-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,3900,60
13-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
14-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
15-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
16-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
17-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
18-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4063,63
19-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,4050,90
20-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3750,75
21-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
22-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2813,63
23-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
24-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,5200,80
25-04-2021,Men's Street Footwear,West,Kohl's,Outlet,California,45,4275,95
26-04-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,4000,80
27-04-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
28-04-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
29-04-2021,Men's Apparel,West,Kohl's,Outlet,California,50,3500,70
30-04-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
01-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
02-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
03-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3625,73
04-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3375,68
05-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,4050,68
06-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
07-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4250,85
08-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
09-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
10-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
11-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3900,65
12-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
13-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4000,80
14-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4400,80
15-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
16-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3125,63
17-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
18-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
19-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4125,83
20-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4538,83
21-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3375,68
22-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
23-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
24-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
25-05-2021,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
26-05-2021,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4950,90
27-05-2021,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
28-05-2021,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3500,70
29-05-2021,Men's Apparel,West,Kohl's,Outlet,California,60,3750,63
30-05-2021,Women's Apparel,West,Kohl's,Outlet,California,65,4713,73
31-05-2021,Men's Street Footwear,West,Foot Locker,Outlet,California,45,2138,48
01-06-2021,Men's Athletic Footwear,West,Foot Locker,Outlet,California,45,1238,28
02-06-2021,Women's Street Footwear,West,Foot Locker,Outlet,California,35,963,28
03-06-2021,Women's Athletic Footwear,West,Foot Locker,Outlet,California,40,500,13
04-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
05-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
06-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,45,2363,53
07-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,788,18
08-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,35,788,23
09-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,400,10
10-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
11-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
12-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2475,50
13-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,1000,20
14-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
15-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
16-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
17-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
18-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2250,45
19-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,750,15
20-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,600,15
21-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
22-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,600,10
23-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
24-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,2970,50
25-06-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,55,1100,20
26-06-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,875,18
27-06-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,500,10
28-06-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
29-06-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,65,1625,25
30-06-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2500,50
01-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1125,25
02-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
03-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,700,18
04-07-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,875,18
05-07-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,1925,35
06-07-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2875,58
07-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1463,33
08-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,1000,25
09-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
10-07-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
11-07-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,2200,40
12-07-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2750,55
13-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1463,33
14-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,1000,25
15-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
16-07-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1000,20
17-07-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,2063,38
18-07-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2500,50
19-07-2021,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1350,30
20-07-2021,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
21-07-2021,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,700,18
22-07-2021,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,875,18
23-07-2021,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,1375,25
24-07-2021,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,2550,43
